Disease,Description,Diet,Medication,Precaution_1,Precaution_2,Precaution_3,Precaution_4
hepatitis A,hepatitis A is a viral liver disease.,"['Hepatitis A Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
hepatitis A,hepatitis A is a viral liver disease.,"['Hepatitis A Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
hepatitis A,hepatitis A is a viral liver disease.,"['Hepatitis A Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
hepatitis A,hepatitis A is a viral liver disease.,"['Hepatitis A Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
hepatitis A,hepatitis A is a viral liver disease.,"['Hepatitis A Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
hepatitis A,hepatitis A is a viral liver disease.,"['Hepatitis A Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
hepatitis A,hepatitis A is a viral liver disease.,"['Hepatitis A Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
hepatitis A,hepatitis A is a viral liver disease.,"['Hepatitis A Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
hepatitis A,hepatitis A is a viral liver disease.,"['Hepatitis A Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,"['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult nearest hospital,vaccination,eat healthy,medication
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,"['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult nearest hospital,vaccination,eat healthy,medication
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,"['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult nearest hospital,vaccination,eat healthy,medication
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,"['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult nearest hospital,vaccination,eat healthy,medication
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,"['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult nearest hospital,vaccination,eat healthy,medication
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,"['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult nearest hospital,vaccination,eat healthy,medication
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,"['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult nearest hospital,vaccination,eat healthy,medication
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,"['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult nearest hospital,vaccination,eat healthy,medication
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,"['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult nearest hospital,vaccination,eat healthy,medication
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,"['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult nearest hospital,vaccination,eat healthy,medication
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Consult nearest hospital,vaccination,eat healthy,medication
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Consult nearest hospital,vaccination,eat healthy,medication
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Consult nearest hospital,vaccination,eat healthy,medication
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Consult nearest hospital,vaccination,eat healthy,medication
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Consult nearest hospital,vaccination,eat healthy,medication
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Consult nearest hospital,vaccination,eat healthy,medication
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Consult nearest hospital,vaccination,eat healthy,medication
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Consult nearest hospital,vaccination,eat healthy,medication
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Consult nearest hospital,vaccination,eat healthy,medication
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,"['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Consult nearest hospital,vaccination,eat healthy,medication
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult doctor,medication,eat healthy,follow up
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult doctor,medication,eat healthy,follow up
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult doctor,medication,eat healthy,follow up
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult doctor,medication,eat healthy,follow up
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult doctor,medication,eat healthy,follow up
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult doctor,medication,eat healthy,follow up
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult doctor,medication,eat healthy,follow up
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult doctor,medication,eat healthy,follow up
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult doctor,medication,eat healthy,follow up
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",consult doctor,medication,eat healthy,follow up
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",stop alcohol consumption,rest,consult doctor,medication
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",stop alcohol consumption,rest,consult doctor,medication
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",stop alcohol consumption,rest,consult doctor,medication
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",stop alcohol consumption,rest,consult doctor,medication
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",stop alcohol consumption,rest,consult doctor,medication
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",stop alcohol consumption,rest,consult doctor,medication
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",stop alcohol consumption,rest,consult doctor,medication
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",stop alcohol consumption,rest,consult doctor,medication
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",stop alcohol consumption,rest,consult doctor,medication
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,"['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",stop alcohol consumption,rest,consult doctor,medication
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",stop alcohol consumption,consult doctor,medication,follow up
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",stop alcohol consumption,consult doctor,medication,follow up
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",stop alcohol consumption,consult doctor,medication,follow up
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",stop alcohol consumption,consult doctor,medication,follow up
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",stop alcohol consumption,consult doctor,medication,follow up
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",stop alcohol consumption,consult doctor,medication,follow up
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",stop alcohol consumption,consult doctor,medication,follow up
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",stop alcohol consumption,consult doctor,medication,follow up
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",stop alcohol consumption,consult doctor,medication,follow up
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",stop alcohol consumption,consult doctor,medication,follow up
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",cover mouth,consult doctor,medication,rest
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",cover mouth,consult doctor,medication,rest
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",cover mouth,consult doctor,medication,rest
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",cover mouth,consult doctor,medication,rest
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",cover mouth,consult doctor,medication,rest
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",cover mouth,consult doctor,medication,rest
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",cover mouth,consult doctor,medication,rest
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",cover mouth,consult doctor,medication,rest
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",cover mouth,consult doctor,medication,rest
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,"['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",cover mouth,consult doctor,medication,rest
Common Cold,Common Cold is a viral infection of the upper respiratory tract.,"['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']","['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold,Common Cold is a viral infection of the upper respiratory tract.,"['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']","['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold,Common Cold is a viral infection of the upper respiratory tract.,"['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']","['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold,Common Cold is a viral infection of the upper respiratory tract.,"['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']","['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold,Common Cold is a viral infection of the upper respiratory tract.,"['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']","['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold,Common Cold is a viral infection of the upper respiratory tract.,"['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']","['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold,Common Cold is a viral infection of the upper respiratory tract.,"['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']","['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold,Common Cold is a viral infection of the upper respiratory tract.,"['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']","['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold,Common Cold is a viral infection of the upper respiratory tract.,"['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']","['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Common Cold,Common Cold is a viral infection of the upper respiratory tract.,"['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']","['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.,"['Pneumonia Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']",consult doctor,medication,rest,follow up
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.,"['Pneumonia Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']",consult doctor,medication,rest,follow up
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.,"['Pneumonia Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']",consult doctor,medication,rest,follow up
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.,"['Pneumonia Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']",consult doctor,medication,rest,follow up
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.,"['Pneumonia Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']",consult doctor,medication,rest,follow up
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.,"['Pneumonia Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']",consult doctor,medication,rest,follow up
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.,"['Pneumonia Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']",consult doctor,medication,rest,follow up
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.,"['Pneumonia Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']",consult doctor,medication,rest,follow up
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.,"['Pneumonia Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']",consult doctor,medication,rest,follow up
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.,"['Pneumonia Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']",consult doctor,medication,rest,follow up
